vehicleId,duration_sec,distance_km,avg_speed,max_speed,speed_std,mean_accel,max_accel,accel_std,count_hard_brakes,harsh_accel_count,idling_time,stop_count,day_of_week,hour_of_day,safety_score
MAT447309M2C03408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8e-07,0.0,3.0,0.0,0.0
MAT447311N2E10122,2e-06,1.3914643612866764e-08,35.35400118351094,58.32954272727273,16.85020259953693,-4180853.1319375145,1043098916.6666666,383182245.2991546,37.0,38.0,8.2e-07,3.0,3.0,0.0,192.83295427272728
MAT464792PSD04539,2e-06,1.0465960400116708e-08,15.34942521314822,32.78693113636365,11.086436369727425,-33825003.94871018,279122014.5502646,115749378.8487922,14.0,12.0,5.2e-07,3.0,3.0,0.0,69.27869311363636
MAT464797PSF06260,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0
MAT464797PSF06608,0.0,3.843675236950319e-09,16.104017787888317,46.51260478991594,12.05138639720225,-14636585.932359302,537125303.1521248,276054729.8586737,12.0,10.0,6.000000000000002e-08,2.0,3.0,0.0,60.651260478991595
MAT464797PSF07204,1e-06,3.8545526473380965e-09,13.838227898095392,39.509999000000015,9.08022736965044,18613184.783155136,757217970.1897023,249129684.5445749,15.0,13.0,2e-08,1.0,3.0,0.0,74.9509999
MAT464797PSG07960,0.0,6.493603378929413e-10,15.885909732475398,29.9034365,11.79864213037671,27033795.369785555,447213543.9814814,230456770.98941925,4.0,4.0,1.7e-07,1.0,3.0,0.0,22.99034365
MAT464797PSG07961,0.0,7.218362482853223e-12,1.593384106562703,2.5986104938271604,1.4216047901247046,27922955.20179048,55845910.40358096,39489021.94790846,0.0,1.0,0.0,0.0,3.0,0.0,2.259861049382716
MAT464797PSG08013,1e-06,5.243756468480666e-09,15.250578635394778,44.472186916666665,16.94545231779619,-120765698.84072322,438889385.5625893,399011383.22479546,5.0,5.0,7e-07,1.0,3.0,0.0,29.447218691666667
MAT464800PSF07283,0.0,2.902541606315571e-10,8.6669015504053,19.250624666666667,7.055791701475009,-6336255.33361914,334924558.90804595,250831680.4976205,4.0,3.0,9e-08,1.0,3.0,0.0,19.925062466666667
MAT464815PSF06106,0.0,1.0822087618406123e-09,13.416267306088868,28.76906216666667,9.477765786103326,-9275224.647942342,125056896.448638,142513871.61547267,3.0,4.0,2e-08,1.0,3.0,0.0,19.87690621666667
